"id","pathway","Vcmax","Jmax","Rd","TPU"
"ely_can3_t2_ch2_27.5","C3",48.8043564617545,85.639697027936,1.41903762317347,5.90750264669673
"ely_can4_t2_ch2","C3",29.5249974136464,66.1303509788071,1.93209940501734,4.88390543026112
"ely_can4_t2_ch2_27.5","C3",57.3079953799481,1e+06,2.4790411535851,5.61678062438396
"ely_can6_t3_ch2","C3",26.476933148506,63.9713672256219,2.22297469084064,NA
"ely_can6_t3_ch2_27.5","C3",48.8043564617545,85.639697027936,1.41903762317347,5.90750264669673
"ely_can7_t4_ch2","C3",-0.0281412166432598,1e+06,-7.11425766909111,NA
"ely_can7_t4_ch2_27.5","C3",64.4685497743435,77.7289381067643,2.59213947594442,3.58753146049741
"ely_can8_t4_ch2","C3",22.7332955496094,51.844929728165,2.03697675292228,3.79571250795616
"ely_can8_t4_ch2_27.5","C3",50.8561053828175,84.992510518824,2.10182409727897,5.73733336785004
"poa_pra1_t2_ch5","C3",65.7791182736673,130.846327386124,7.51557611828148,NA
"poa_pra1_t2_ch5_27.5","C3",111.660762000462,166.992815122572,8.16721854858829,11.0670727725998
"poa_pra2_t1_ch2","C3",28.4865539697198,1e+06,1.83161680264434,6.02365217391596
"poa_pra2_t1_ch2_27.5","C3",74.9263319556003,135.379863227664,5.09866775988678,NA
"poa_pra3_t2_ch2","C3",26.3912156854292,75.0798204639441,1.9914306730832,NA
"poa_pra3_t2_ch2_27.5","C3",66.0148402243734,98.0861129696113,2.63721105470541,5.95287594978234
"poa_pra4_t2_ch2","C3",39.1009432352248,100.998132934758,4.69290662502927,NA
"poa_pra4_t2_ch2_27.5","C3",62.4590416574294,120.609418487261,3.5949851447651,NA
"poa_pra5_t3_ch2","C3",44.6622474977533,110.116708824204,2.69100326034802,NA
"poa_pra5_t3_ch2_27.5","C3",70.3851677856758,140.058639534964,1.54102216244537,NA
"poa_pra6_t3_ch2","C3",43.3545366573611,98.3292817386129,5.55044542223026,NA
"poa_pra6_t3_ch2_27.5","C3",51.8128678951503,95.2282338437613,1.76204648492669,6.3964826778571
