"id","machine.x","A","Ci","Ca","gsw","CO2_s","CO2_r","H2O_s","H2O_r","Qin","VPDleaf","Flow","Tair","Tleaf","chamber","machine.y","rd","keep.row"
"bou_cur25_t1_ch5","stan",15.21946704,193.2030829,513.6248167,0.079039891,513.6248214,542.7200714,9.419488571,9.025233214,2000.015714,1.497800182,500.0589643,19.16693571,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",16.26947055,188.2339349,531.2766246,0.078804562,531.2766296,560.4980741,9.419893704,9.024116296,2000.009259,1.50042177,500.0464815,19.17307407,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",16.44662913,199.2745487,547.0596021,0.078628214,547.0596071,576.2930714,9.419465357,9.023335,2000.01,1.500830785,500.0560714,19.17526429,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",16.31071138,217.7248822,564.7406987,0.07826837,564.7407037,594.0843333,9.418101481,9.022677778,2000.023704,1.501742914,500.052037,19.17407407,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",16.98599231,217.2792562,580.4951019,0.077804902,580.4951071,609.8312857,9.416288214,9.022618929,2000.008214,1.501280933,500.0576429,19.17156786,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",16.77169188,236.5451499,598.1524763,0.077283679,598.1524815,627.619,9.414048148,9.022140741,1999.98,1.502657009,500.0580741,19.16792593,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",17.6334148,233.7303399,613.9015303,0.077201824,613.9015357,643.3792143,9.411551429,9.0212225,1999.981071,1.503037791,500.0468571,19.16497143,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",17.22246658,257.3086487,631.5784021,0.076743248,631.5784074,661.2191111,9.408761481,9.020004074,2000.015556,1.502560038,500.0609259,19.15950741,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",17.01515102,275.0831715,647.343709,0.076332651,647.3437143,676.8986071,9.406230357,9.018985,2000.028571,1.501241664,500.0460714,19.15243214,20,5,"stan",1.6684325968268,"yes"
"bou_cur25_t1_ch5","stan",16.72114329,297.630345,664.9805504,0.07616594,664.9805556,694.6320741,9.403765556,9.018512593,2000.032222,1.500670168,500.0625556,19.14258148,20,5,"stan",1.6684325968268,"yes"
