"","ID","leaf.area.weight","leaf.d13c.mass.mg.","leaf.d13c","total_N","sample_weight"
"163","poa_pra19_t2_ch4","0.12",2.762,"-27.54",38.15,2.762
"164","poa_pra20_t2_ch4","0.13",2.806,"-27.68",40.14,2.806
"165","poa_pra21_t3_ch4","0.06",2.913,"-28.71",62.58,2.913
"166","poa_pra22_t3_ch4","no growth",NA,NA,NA,NA
"167","poa_pra23_t4_ch4","0.04",2.79,"-28.86",46.18,2.79
"168","poa_pra24_t4_ch4","0.1",2.835,"-28.08",40.38,2.835
"169","bou_cur17_t1_ch4","0.1",2.893,"-8.55",32.2,2.893
"170","bou_cur18_t1_ch4","no leave",NA,NA,NA,NA
"171","bou_cur19_t2_ch4","0.06",2.913,"-9.02",69.22,2.913
"172","bou_cur20_t2_ch4","0.12",2.962,"-8.25",35.32,2.962
"173","bou_cur21_t3_ch4","0.04",2.81,"-8.45",25.44,2.81
"174","bou_cur22_t3_ch4","0.03",2.864,"-8.89",68.07,2.864
"175","bou_cur23_t4_ch4","0.12",2.979,"-8.84",39.79,2.979
"176","bou_cur24_t4_ch4","0.09",2.862,"-8.97",35.53,2.862
"177","sch_sco17_t1_ch4","0.01",2.939,"-8.16",40.42,2.939
"178","sch_sco18_t1_ch4","0.02",2.892,"-7.74",41.35,2.892
"179","sch_sco19_t2_ch4","0.01",2.85,"-5.48",55.6,2.85
"180","sch_sco20_t2_ch4","0.15",2.885,"-7.84",36.46,2.885
"181","sch_sco21_t3_ch4","0.02",2.779,"-6.88",35.84,2.779
"182","sch_sco22_t3_ch4","0.07",2.966,"-7.19",60.48,2.966
"183","sch_sco23_t4_ch4","0.07",2.859,"-6.44",30.43,2.859
"184","sch_sco24_t4_ch4","0.04",2.947,"-6.52",55.18,2.947
"185","sor_nut17_t1_ch4",NA,2.867,"-7.95",34.8,2.867
"186","sor_nut18_t1_ch4","0.03",2.866,"-7.85",24.51,2.866
"187","sor_nut19_t2_ch4","0.35",2.993,"-5.89",42.81,2.993
"188","sor_nut20_t2_ch4","0.29",2.8,"-7.39",28.67,2.8
"189","sor_nut21_t3_ch4","0.14",2.819,"-7.61",32.41,2.819
"190","sor_nut22_t3_ch4","0.16",2.914,"-7.7",46.03,2.914
"191","sor_nut23_t4_ch4","0.12",2.965,"-7.4",23.36,2.965
"192","sor_nut24_t4_ch4","0.16",2.944,"-6.58",35.74,2.944
